"ISO3","ISO2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","region"
"BOL","BO",1973,3454500,4902248,9644.539,1967.37068381689,0.704676711582115,"America"
"BWA","BW",1973,51296,657246,832.052,1265.96738511912,0.0780468804678918,"Africa"
"BRA","BR",1973,132060800,103666904,492697.454,4752.69767871142,1.27389547584058,"America"
"VGB","VG",1973,25648,10018,70.752,7062.48752245957,2.56019165502096,"America"
"BRN","BN",1973,9973400,149065,6600.396,44278.6435447624,66.9063831214571,"Asia and Oceania"
"BGR","BG",1973,68717300,8753489,19261.452,2200.43139369913,7.85027547301425,"Europe"
"BFA","BF",1973,168540,5907742,1675.105,283.544034252004,0.0285286662823123,"Africa"
"BDI","BI",1973,73280,3571450,1072.922,300.416357501855,0.0205182768903387,"Africa"
"KHM","KH",1973,128640,6852360,2750.333,401.370184870614,0.0187730942332277,"Asia and Oceania"
"CMR","CM",1973,896910,6998688,6637.403,948.378181739206,0.12815401972484,"Africa"
"CAN","CA",1973,381273200,22502029,536887.254,23859.5041362714,16.9439475880153,"America"
"CPV","CV",1973,62229,299191,283.517,947.612060523211,0.207990882078672,"Africa"
"CAF","CF",1973,161220,2195905,1417.795,645.654069734346,0.0734184766645187,"Africa"
"TCD","TD",1973,161220,3912905,1818.477,464.738346573709,0.0412021247640819,"Africa"
"CHL","CL",1973,27588500,10307842,42866.938,4158.67239719041,2.67645740010373,"America"
"CHN","CN",1973,1008292600,881652080,277082.944,314.276969663589,1.14364001727303,"Asia and Oceania"
"COL","CO",1973,33630800,22396318,61622.685,2751.46499527288,1.50162182908816,"America"
"COM","KM",1973,29312,263728,303.869,1152.2060607899,0.111144815870897,"Africa"
"COG","CG",1973,1220100,1532069,2844.636,1856.72838494872,0.79637405364902,"Africa"
"COK","CK",1973,10992,20177,91.896,4554.49273925757,0.544778708430391,"Asia and Oceania"
"CRI","CR",1973,2043400,2006247,10673.122,5319.94415443363,1.01851865697494,"America"
"CUB","CU",1973,22375300,9297924,27244.429,2930.16258252918,2.40648342576257,"America"
"CYP","CY",1973,2503500,650705,4627.178,7111.02266003796,3.84736554967305,"Europe"
"DNK","DK",1973,59193900,5008581,147896.805,29528.6838727376,11.8184970952851,"Europe"
"DJI","DJ",1973,179540,177327,598.84,3377.03790172957,1.01247976901431,"Africa"
"DMA","DM",1973,25648,70334,175.506,2495.32231921972,0.364660050615634,"America"
"DOM","DO",1973,5959000,4851183,10551.02,2174.93753585466,1.22836017523973,"America"
"ECU","EC",1973,5255900,6720443,22066.274,3283.45527221941,0.782076419664597,"America"
"EGY","EG",1973,23761100,37120776,30531.058,822.478980504071,0.640102459064972,"Africa"
"SLV","SV",1973,1966600,3890639,10734.884,2759.15704335457,0.505469667064973,"America"
"GNQ","GQ",1973,29312,298050,317.656,1065.78090924342,0.0983459151149136,"Africa"
"FJI","FJ",1973,629850,557244,1731.951,3108.06576652239,1.13029480801947,"Asia and Oceania"
"FIN","FI",1973,49320200,4666166,93045.418,19940.4431818328,10.5697482687071,"Europe"
